"
""**.****|****.****|****.****|****.****|****.****|****.****|****.****|****.****|
"" * isotope_cs_eval.dat *                         galprop package * 5/16/2001 
""**"****!****"****!****"****!****"****!****"****!****"****!****"****!****"****|
"
****.****|****.****|****.****|****.****|****.****|****.****|****.****|****.****|
"                             ### Igor Moskalenko, NASA/GSFC ###  5/16/2001 ###
" The array containts the following data:
" Zi.Ai, Zf.Af, emev/n, CSmb, CSerr.  (Zf = 0 for isobaric cross sections).
" if CSerr>0, it is the absolute evaluation error;
" if CSerr<0, it is the relative error and the abs. err. will be calculated 
" automatically in the subroutine.
" Any character in the 1st column can be used to comment the line.
" Ref. "imos" means by eye approximation of data
"===="====!===="====!===="====!===="====!===="====!===="====!===="====!===="====!
  5    941   1    <- array dimensions (-18)
"
"   Zi.Ai  Zf.Af  Emev/n    CSmb   CSerr       Ref. 
    26.56  26.55    10.0    0.     0.000    ! SEM2k 26.56->26.55
    26.56  26.55    12.0    0.22   0.042    ! SEM2k
    26.56  26.55    14.0   39.01   0.568    ! SEM2k
    26.56  26.55    16.0   87.23   0.849    ! SEM2k
    26.56  26.55    18.0  313.20   1.604    ! SEM2k
    26.56  26.55    20.0  437.00   1.888    ! SEM2k
    26.56  26.55    40.0  220.80   1.299    ! SEM2k
    26.56  26.55    50.0  162.50   1.098    ! SEM2k
    26.56  26.55    60.0  136.20   0.990    ! SEM2k
    26.56  26.55    70.0  121.50   0.925    ! SEM2k
    26.56  26.55    80.0  112.00   0.880    ! SEM2k
    26.56  26.55    90.0  102.40   0.834    ! SEM2k
    26.56  26.55   100.0   97.46   0.808    ! SEM2k
    26.56  26.55   200.0   73.10   0.477    ! SEM2k
    26.56  26.55   300.0   66.63   0.453    ! SEM2k
    26.56  26.55   400.0   66.58   0.460    ! SEM2k
    26.56  26.55   500.0   66.28   0.470    ! SEM2k
    26.56  26.55   600.0   64.63   0.474    ! SEM2k
    26.56  26.55   700.0   63.17   0.474    ! SEM2k
    26.56  26.55   800.0   58.64   0.460    ! SEM2k
    26.56  26.55   900.0   57.32   0.456    ! SEM2k
    26.56  26.55  1000.0   55.94   0.453    ! SEM2k
    26.56  26.55  2000.0   50.95   0.276    ! SEM2k
    26.56  26.55  3000.0   43.99   0.256    ! SEM2k
    26.56  26.55  4000.0   40.28   0.244    ! SEM2k
    26.56  26.55  5000.0   39.27   0.240    ! SEM2k
    26.56  25.55    18.0    0.     0.000    ! SEM2k*1.45 26.56->25.55
    26.56  25.55    20.0    0.62   0.059    ! SEM2k*1.45
    26.56  25.55    40.0   35.12   0.430    ! SEM2k*1.45
    26.56  25.55    50.0   36.02   0.429    ! SEM2k*1.45
    26.56  25.55    60.0   35.03   0.417    ! SEM2k*1.45
    26.56  25.55    70.0   34.96   0.412    ! SEM2k*1.45
    26.56  25.55    80.0   34.96   0.408    ! SEM2k*1.45
    26.56  25.55    90.0   33.89   0.398    ! SEM2k*1.45
    26.56  25.55   100.0   34.68   0.400    ! SEM2k*1.45
    26.56  25.55   200.0   35.51   0.276    ! SEM2k*1.45
    26.56  25.55   300.0   37.18   0.281    ! SEM2k*1.45
    26.56  25.55   400.0   37.02   0.285    ! SEM2k*1.45
    26.56  25.55   500.0   35.45   0.285    ! SEM2k*1.45
    26.56  25.55   600.0   35.61   0.292    ! SEM2k*1.45
    26.56  25.55   700.0   34.08   0.289    ! SEM2k*1.45
    26.56  25.55   800.0   33.54   0.289    ! SEM2k*1.45
    26.56  25.55   900.0   32.15   0.284    ! SEM2k*1.45
    26.56  25.55  1000.0   31.64   0.283    ! SEM2k*1.45
    26.56  25.55  2000.0   28.70   0.172    ! SEM2k*1.45
    26.56  25.55  3000.0   25.80   0.163    ! SEM2k*1.45
    26.56  25.55  4000.0   23.77   0.156    ! SEM2k*1.45
    26.56  25.55  5000.0   22.30   0.150    ! SEM2k*1.45
    26.56  25.54    20.0    0.     0.000    ! SEM2k*0.85 data/natFe
    26.56  25.54    21.9    0.73   0.041    ! iMIEX97
    26.56  25.54    26.2    8.01   0.814    ! iMIEX97
    26.56  25.54    29.5   38.40   2.010    ! iMIEX97
    26.56  25.54    30.6   50.00   3.000    ! iMIEX97
    26.56  25.54    31.1   59.50   3.800    ! iMIEX97
    26.56  25.54    34.9  120.00   7.200    ! iMIEX97
    26.56  25.54    40.0  157.00   8.190    ! iMIEX97
    26.56  25.54    50.0  117.64   1.013    ! SEM2k*0.85 nat
    26.56  25.54    60.0   90.61   0.876    ! SEM2k*0.85 nat
    26.56  25.54    70.0   77.09   0.799    ! SEM2k*0.85 nat
    26.56  25.54    80.0   68.73   0.747    ! SEM2k*0.85 nat
    26.56  25.54    90.0   63.52   0.712    ! SEM2k*0.85 nat
